table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
723,"Logan city, Utah","52,842","52,869","54,506","54,856","55,588","56,770",,,,,,,,,,,
724,"Wake Forest town, North Carolina","48,006","49,723","50,923","52,367","54,431","56,764",,,,,,,,,,,
725,"DeSoto city, Texas","56,108","56,039","55,704","56,238","56,391","56,711",,,,,,,,,,,
726,"Bartlett city, Tennessee","57,792","57,671","57,059","56,635","56,271","56,708",,,,,,,,,,,
727,"Oak Lawn village, Illinois","58,367","58,149","57,101","56,358","56,178","56,531",,,,,,,,,,,
728,"Plainfield city, New Jersey","54,600","54,344","55,021","54,805","55,561","56,507",,,,,,,,,,,
729,"Highland city, California","56,960","56,975","56,876","56,555","56,390","56,499",,,,,,,,,,,
730,"Olympia city, Washington","55,367","55,609","56,034","55,948","55,907","56,271",,,,,,,,,,,
731,"Lincoln city, California","49,748","49,972","51,319","52,872","54,473","56,268",,,,,,,,,,,
732,"Burleson city, Texas","47,640","48,001","51,498","53,490","55,289","56,253",,,,,,,,,,,
733,"Fountain Valley city, California","57,049","56,972","56,373","55,978","55,818","56,036",,,,,,,,,,,
734,"West Sacramento city, California","53,922","53,819","53,973","55,114","55,660","55,991",,,,,,,,,,,
735,"Anderson city, Indiana","54,848","54,821","54,959","55,106","55,403","55,851",,,,,,,,,,,
736,"Port Arthur city, Texas","56,033","56,011","56,189","55,725","55,795","55,799",,,,,,,,,,,
737,"Valdosta city, Georgia","55,392","55,424","55,207","55,091","54,989","55,667",,,,,,,,,,,
738,"Twin Falls city, Idaho","51,843","52,116","53,552","54,485","55,114","55,589",,,,,,,,,,,
739,"San Jacinto city, California","53,896","54,196","55,255","55,497","55,499","55,515",,,,,,,,,,,
740,"Mount Prospect village, Illinois","56,862","56,705","55,651","54,927","54,748","55,460",,,,,,,,,,,
741,"Peabody city, Massachusetts","54,501","54,402","54,190","54,376","55,043","55,418",,,,,,,,,,,
742,"Chicopee city, Massachusetts","55,566","55,444","55,225","55,040","55,347","55,381",,,,,,,,,,,
743,"West Haven city, Connecticut","55,580","55,553","55,303","55,297","55,245","55,379",,,,,,,,,,,
744,"Apple Valley city, Minnesota","56,367","56,273","55,873","55,516","55,482","55,272",,,,,,,,,,,
745,"Berwyn city, Illinois","57,233","56,996","55,885","55,101","54,857","55,152",,,,,,,,,,,
746,"Tinley Park village, Illinois","56,004","55,828","54,955","54,370","54,288","54,856",,,,,,,,,,,
747,"Kentwood city, Michigan","54,295","54,266","54,193","54,118","54,246","54,768",,,,,,,,,,,
748,"Manhattan city, Kansas","54,104","54,151","54,422","53,844","54,016","54,700",,,,,,,,,,,
749,"Fulshear city, Texas","16,699","17,617","24,968","34,074","43,033","54,629",,,,,,,,,,,
750,"Rocky Mount city, North Carolina","54,394","54,382","53,996","54,196","54,388","54,541",,,,,,,,,,,
751,"Arcadia city, California","56,673","56,513","55,468","54,921","54,559","54,472",,,,,,,,,,,
752,"Yucaipa city, California","54,551","54,607","54,610","54,313","54,238","54,465",,,,,,,,,,,
753,"Methuen city, Massachusetts","53,019","52,974","52,907","53,441","53,756","54,272",,,,,,,,,,,
754,"Pensacola city, Florida","54,319","54,481","53,982","53,991","53,840","53,898",,,,,,,,,,,
755,"Wheaton city, Illinois","54,012","53,899","53,528","53,254","53,401","53,741",,,,,,,,,,,
756,"Elkhart city, Indiana","53,937","53,890","53,908","53,913","53,673","53,690",,,,,,,,,,,
757,"Joplin city, Missouri","51,768","51,811","51,957","52,484","53,131","53,605",,,,,,,,,,,
758,"Elyria city, Ohio","52,668","52,686","52,805","52,900","53,181","53,604",,,,,,,,,,,
759,"Edina city, Minnesota","53,480","53,368","53,341","52,517","53,533","53,564",,,,,,,,,,,
760,"Rockwall city, Texas","47,314","47,748","49,804","51,653","53,077","53,547",,,,,,,,,,,
761,"Galveston city, Texas","53,695","53,652","53,390","53,179","53,371","53,538",,,,,,,,,,,
762,"Colton city, California","53,889","53,974","54,083","53,787","53,528","53,528",,,,,,,,,,,
763,"Pinellas Park city, Florida","53,110","53,393","53,332","53,808","53,789","53,503",,,,,,,,,,,
764,"Placentia city, California","52,726","52,666","52,203","52,679","53,238","53,395",,,,,,,,,,,
765,"Normal town, Illinois","53,017","53,024","53,081","53,157","53,114","53,304",,,,,,,,,,,
766,"Grand Island city, Nebraska","53,134","53,028","52,465","52,673","53,000","53,250",,,,,,,,,,,
767,"Delano city, California","51,424","49,893","50,841","52,124","52,319","53,198",,,,,,,,,,,
768,"Palm Desert city, California","51,165","51,196","51,542","51,787","52,284","53,147",,,,,,,,,,,
769,"West New York town, New Jersey","52,835","52,475","51,648","51,118","51,836","52,975",,,,,,,,,,,
770,"Oak Park village, Illinois","54,773","54,574","53,506","52,816","52,672","52,947",,,,,,,,,,,
771,"Jeffersonville city, Indiana","49,456","49,573","50,436","51,072","51,346","52,912",,,,,,,,,,,
772,"Mooresville town, North Carolina","50,295","50,562","51,752","52,784","53,891","52,884",,,,,,,,,,,
773,"Minnetonka city, Minnesota","53,812","54,107","53,237","52,657","52,678","52,651",,,,,,,,,,,
774,"Summerville town, South Carolina","50,841","50,957","51,239","51,560","51,818","52,625",,,,,,,,,,,
775,"Cathedral City city, California","51,501","51,629","52,280","52,407","52,438","52,517",,,,,,,,,,,
776,"Gallatin city, Tennessee","44,453","44,825","46,726","48,220","50,413","52,489",,,,,,,,,,,
777,"Novato city, California","53,210","53,146","52,987","52,366","52,017","52,311",,,,,,,,,,,
778,"Diamond Bar city, California","55,190","55,010","53,839","53,035","52,530","52,292",,,,,,,,,,,
779,"Middletown city, Ohio","50,986","51,023","51,109","51,394","51,882","52,291",,,,,,,,,,,
780,"Battle Creek city, Michigan","52,754","52,704","52,507","52,229","52,264","52,205",,,,,,,,,,,
781,"Huntington Park city, California","54,885","54,703","53,523","52,768","52,333","52,166",,,,,,,,,,,
782,"Burien city, Washington","52,072","51,996","51,140","51,045","51,346","52,046",,,,,,,,,,,
783,"Columbus city, Indiana","50,492","50,495","50,796","51,395","51,682","51,970",,,,,,,,,,,
784,"Collierville town, Tennessee","51,325","51,332","51,254","51,461","51,535","51,951",,,,,,,,,,,
785,"Everett city, Massachusetts","49,078","48,957","48,724","49,883","50,848","51,825",,,,,,,,,,,
786,"Dunwoody city, Georgia","51,645","51,596","51,003","52,263","52,010","51,795",,,,,,,,,,,
787,"Bothell city, Washington","48,154","48,174","48,104","49,213","50,782","51,770",,,,,,,,,,,
788,"Celina city, Texas","16,883","17,816","23,879","34,290","43,700","51,661",,,,,,,,,,,
789,"Lebanon city, Tennessee","38,486","38,894","41,019","44,276","48,290","51,501",,,,,,,,,,,
790,"Prescott Valley town, Arizona","46,745","46,972","48,186","49,125","50,156","51,440",,,,,,,,,,,
791,"Newark city, Ohio","49,970","50,041","50,379","50,845","51,162","51,424",,,,,,,,,,,
792,"Watsonville city, California","52,583","52,471","52,056","51,502","51,220","51,320",,,,,,,,,,,
792,"Grapevine city, Texas","50,632","50,765","50,923","51,414","51,262","51,320",,,,,,,,,,,
794,"Florissant city, Missouri","52,545","52,459","52,072","51,585","51,323","51,290",,,,,,,,,,,
795,"Ocoee city, Florida","47,336","47,497","47,563","48,588","50,259","51,269",,,,,,,,,,,
796,"Paramount city, California","53,749","53,575","52,447","51,759","51,374","51,169",,,,,,,,,,,
797,"Harrisonburg city, Virginia","51,811","51,705","51,504","51,207","51,378","51,164",,,,,,,,,,,
798,"Troy city, New York","51,405","51,311","51,192","50,807","50,800","51,065",,,,,,,,,,,
799,"La Crosse city, Wisconsin","52,687","52,660","50,687","51,229","51,283","51,049",,,,,,,,,,,
800,"Mishawaka city, Indiana","51,095","51,047","50,994","51,025","51,005","51,020",,,,,,,,,,,
801,"Milford city (balance), Connecticut","50,544","50,411","50,437","50,514","50,666","51,004",,,,,,,,,,,
802,"Cuyahoga Falls city, Ohio","51,116","51,052","50,885","50,720","50,865","50,979",,,,,,,,,,,
803,"Hoffman Estates village, Illinois","52,539","52,380","51,427","50,751","50,581","50,920",,,,,,,,,,,
804,"Clermont city, Florida","43,033","43,340","44,609","46,593","48,876","50,851",,,,,,,,,,,
805,"Murray city, Utah","50,637","50,520","49,735","49,674","50,114","50,817",,,,,,,,,,,
806,"Fort Pierce city, Florida","47,575","47,661","48,350","48,796","49,791","50,805",,,,,,,,,,,
807,"Harrisburg city, Pennsylvania","50,080","50,092","50,248","50,213","50,292","50,649",,,,,,,,,,,
808,"Downers Grove village, Illinois","50,276","50,182","49,816","49,579","50,130","50,552",,,,,,,,,,,
809,"Enid city, Oklahoma","51,282","51,161","50,557","50,546","50,582","50,519",,,,,,,,,,,
810,"Aliso Viejo city, California","52,173","52,076","51,517","51,005","50,572","50,457",,,,,,,,,,,
811,"Coral Gables city, Florida","49,242","49,752","49,661","49,259","49,801","50,379",,,,,,,,,,,
812,"Goose Creek city, South Carolina","45,972","46,260","46,739","47,674","49,429","50,352",,,,,,,,,,,
813,"Cleveland city, Tennessee","47,799","47,911","48,084","48,626","49,328","50,232",,,,,,,,,,,
814,"Sherman city, Texas","43,671","43,959","45,062","45,290","47,452","50,229",,,,,,,,,,,
815,"Draper city, Utah","51,025","51,023","51,373","48,703","50,140","50,166",,,,,,,,,,,
816,"Stillwater city, Oklahoma","48,380","48,389","48,721","49,304","49,824","50,138",,,,,,,,,,,
817,"Glendora city, California","52,580","52,409","51,223","50,607","50,258","50,101",,,,,,,,,,,
818,"Portage city, Michigan","48,876","48,938","48,909","48,982","49,464","49,975",,,,,,,,,,,
819,"St. Louis Park city, Minnesota","50,010","50,031","49,264","48,914","49,877","49,899",,,,,,,,,,,
820,"Titusville city, Florida","48,797","48,821","48,967","49,432","49,896","49,883",,,,,,,,,,,
821,"Barnstable Town city, Massachusetts","48,914","48,872","49,601","49,604","49,958","49,831",,,,,,,,,,,
821,"Leesburg town, Virginia","48,307","48,443","49,052","49,131","49,468","49,831",,,,,,,,,,,
823,"Lawrence city, Indiana","49,374","49,342","49,440","49,461","49,578","49,817",,,,,,,,,,,
824,"San Luis Obispo city, California","47,106","47,191","47,882","48,498","49,110","49,729",,,,,,,,,,,
825,"Sheboygan city, Wisconsin","49,938","49,974","49,623","49,508","49,614","49,624",,,,,,,,,,,
826,"Cedar Hill city, Texas","49,151","49,108","48,574","48,477","48,986","49,618",,,,,,,,,,,
827,"Rosemead city, California","51,178","51,036","50,099","49,686","49,562","49,582",,,,,,,,,,,
828,"Lakewood city, Ohio","50,940","50,825","50,268","49,776","49,564","49,517",,,,,,,,,,,
829,"Huntsville city, Texas","45,823","45,859","46,945","47,816","49,267","49,500",,,,,,,,,,,
830,"Chesterfield city, Missouri","49,992","49,949","49,751","49,386","49,345","49,465",,,,,,,,,,,
831,"Dublin city, Ohio","49,315","49,344","49,110","49,159","49,292","49,456",,,,,,,,,,,
832,"Poway city, California","48,833","48,785","48,503","48,353","48,613","49,435",,,,,,,,,,,
833,"Cypress city, California","50,148","50,053","49,603","49,329","49,134","49,286",,,,,,,,,,,
834,"Ceres city, California","49,715","49,694","49,508","49,166","49,092","49,253",,,,,,,,,,,
835,"Covina city, California","51,270","51,168","50,196","49,469","49,177","49,245",,,,,,,,,,,
836,"East Lansing city, Michigan","48,083","48,021","34,848","47,702","49,160","48,964",,,,,,,,,,,
837,"Plainfield village, Illinois","44,901","44,970","45,626","46,349","47,607","48,881",,,,,,,,,,,
838,"Oro Valley town, Arizona","47,072","47,226","47,803","48,304","48,556","48,855",,,,,,,,,,,
839,"Columbia city, Tennessee","41,615","41,994","43,452","45,628","47,311","48,812",,,,,,,,,,,
840,"Wauwatosa city, Wisconsin","48,383","48,333","48,163","48,481","48,839","48,794",,,,,,,,,,,
841,"Winter Garden city, Florida","47,400","47,483","47,008","47,876","48,313","48,771",,,,,,,,,,,
842,"Bedford city, Texas","49,949","49,818","49,295","48,954","48,734","48,728",,,,,,,,,,,
843,"Los Banos city, California","45,566","45,719","46,966","48,085","48,506","48,684",,,,,,,,,,,
844,"Holly Springs town, North Carolina","41,264","41,574","43,483","45,894","46,558","48,674",,,,,,,,,,,
845,"Wentzville city, Missouri","44,932","45,282","45,875","47,556","47,943","48,646",,,,,,,,,,,
846,"Waxahachie city, Texas","41,127","41,619","43,790","45,524","47,230","48,617",,,,,,,,,,,
847,"Middletown city, Connecticut","47,727","46,976","48,040","48,025","48,103","48,616",,,,,,,,,,,
848,"Wilson city, North Carolina","48,456","48,461","48,147","48,132","48,519","48,579",,,,,,,,,,,
849,"Hattiesburg city, Mississippi","48,738","48,752","48,599","48,618","48,601","48,522",,,,,,,,,,,
850,"Euclid city, Ohio","49,689","49,586","49,057","48,603","48,439","48,421",,,,,,,,,,,
851,"Shakopee city, Minnesota","43,710","44,073","44,723","45,678","47,211","48,401",,,,,,,,,,,
852,"Azusa city, California","50,349","50,204","49,249","48,746","48,566","48,383",,,,,,,,,,,
853,"Prescott city, Arizona","45,903","46,075","47,159","47,643","47,902","48,224",,,,,,,,,,,
854,"Biloxi city, Mississippi","49,442","49,428","49,178","49,111","48,407","48,144",,,,,,,,,,,
855,"Beavercreek city, Ohio","46,562","46,612","46,759","47,006","47,327","48,012",,,,,,,,,,,
856,"East Providence city, Rhode Island","47,130","47,052","46,928","47,105","47,368","47,961",,,,,,,,,,,
857,"Brea city, California","47,300","47,242","46,870","47,408","47,908","47,844",,,,,,,,,,,
858,"Spanish Fork city, Utah","42,621","42,759","43,858","44,287","45,965","47,809",,,,,,,,,,,
859,"Urbandale city, Iowa","45,577","45,577","45,998","46,650","46,931","47,759",,,,,,,,,,,
860,"Gainesville city, Georgia","41,976","42,202","43,073","45,053","47,149","47,712",,,,,,,,,,,
861,"Glenview village, Illinois","48,721","48,554","47,800","47,335","47,280","47,634",,,,,,,,,,,
862,"Mansfield city, Ohio","47,530","47,525","47,690","47,823","47,676","47,593",,,,,,,,,,,
863,"Niagara Falls city, New York","48,668","48,520","48,316","47,907","47,643","47,512",,,,,,,,,,,
864,"Minot city, North Dakota","48,386","48,388","47,988","47,685","47,420","47,440",,,,,,,,,,,
865,"Olive Branch city, Mississippi","46,395","46,562","46,931","47,052","47,195","47,365",,,,,,,,,,,
866,"Altamonte Springs city, Florida","46,254","46,172","45,529","45,770","45,731","47,261",,,,,,,,,,,
867,"Roswell city, New Mexico","48,448","48,439","48,013","47,402","47,189","47,176",,,,,,,,,,,
868,"Sayreville borough, New Jersey","45,337","45,213","45,194","45,401","46,153","47,165",,,,,,,,,,,
869,"Oakley city, California","43,354","43,482","44,200","45,061","45,976","47,158",,,,,,,,,,,
870,"Mentor city, Ohio","47,442","47,428","47,294","47,076","47,000","47,113",,,,,,,,,,,
871,"Attleboro city, Massachusetts","46,471","46,478","46,631","46,680","46,866","47,085",,,,,,,,,,,
872,"Roseville city, Michigan","47,713","47,619","47,222","46,864","46,850","47,047",,,,,,,,,,,
873,"Cerritos city, California","49,566","49,394","48,320","47,593","47,111","46,851",,,,,,,,,,,
874,"Binghamton city, New York","47,945","47,779","47,460","47,054","46,765","46,773",,,,,,,,,,,
875,"Riverton city, Utah","45,290","45,294","45,126","44,792","45,357","46,680",,,,,,,,,,,
876,"Keller city, Texas","45,764","45,718","45,461","45,374","46,648","46,643",,,,,,,,,,,
877,"Hackensack city, New Jersey","46,032","45,908","45,777","45,793","46,155","46,630",,,,,,,,,,,
878,"Monroe city, Louisiana","47,706","47,620","47,211","46,861","46,670","46,622",,,,,,,,,,,
879,"Delaware city, Ohio","41,327","41,712","43,022","44,071","45,364","46,521",,,,,,,,,,,
880,"Charleston city, West Virginia","48,810","48,639","47,949","47,228","46,787","46,482",,,,,,,,,,,
881,"Mankato city, Minnesota","44,575","44,637","44,913","45,238","46,076","46,459",,,,,,,,,,,
882,"La Mirada city, California","48,682","48,537","47,640","46,953","46,547","46,367",,,,,,,,,,,
883,"Rancho Santa Margarita city, California","47,960","47,868","47,331","46,872","46,462","46,353",,,,,,,,,,,
884,"West Lafayette city, Indiana","44,503","44,664","44,943","45,097","45,193","46,338",,,,,,,,,,,
885,"North Lauderdale city, Florida","44,790","44,723","44,348","44,972","45,699","46,335",,,,,,,,,,,
886,"Fuquay-Varina town, North Carolina","34,265","34,556","36,773","40,745","44,066","46,317",,,,,,,,,,,
887,"Greer city, South Carolina","35,378","35,829","38,874","42,110","44,502","46,316",,,,,,,,,,,
888,"Farmington city, New Mexico","46,608","46,497","46,354","46,163","46,307","46,262",,,,,,,,,,,
889,"Newark city, California","47,524","47,516","46,981","46,944","46,788","46,254",,,,,,,,,,,
890,"Salina city, Kansas","46,878","46,841","46,451","46,121","46,001","46,109",,,,,,,,,,,
891,"Elmhurst city, Illinois","45,784","45,727","45,495","45,422","45,666","46,108",,,,,,,,,,,
892,"Morgan Hill city, California","45,479","45,687","45,270","44,952","45,214","45,952",,,,,,,,,,,
893,"The Colony city, Texas","44,534","44,773","45,233","45,537","45,772","45,897",,,,,,,,,,,
894,"Cutler Bay town, Florida","45,427","45,218","44,394","44,627","45,216","45,833",,,,,,,,,,,
895,"Post Falls city, Idaho","38,605","39,304","42,717","44,240","44,885","45,800",,,,,,,,,,,
896,"Haltom City city, Texas","46,083","46,000","45,792","45,680","45,624","45,786",,,,,,,,,,,
897,"Oakland Park city, Florida","44,321","44,237","43,862","44,358","45,112","45,771",,,,,,,,,,,
898,"Strongsville city, Ohio","46,487","46,428","46,143","45,823","45,719","45,768",,,,,,,,,,,
899,"Moorhead city, Minnesota","44,511","44,544","44,795","44,904","45,309","45,726",,,,,,,,,,,
900,"Salem city, Massachusetts","44,474","43,670","44,594","44,657","45,376","45,677",,,,,,,,,,,
901,"North Miami Beach city, Florida","43,669","43,452","42,611","43,663","44,197","45,655",,,,,,,,,,,
902,"DeLand city, Florida","37,791","38,225","39,533","41,392","43,210","45,587",,,,,,,,,,,
903,"Newnan city, Georgia","42,518","42,835","43,385","44,490","45,014","45,548",,,,,,,,,,,
904,"Brentwood city, Tennessee","45,384","45,447","45,734","45,612","45,425","45,525",,,,,,,,,,,
905,"Palm Springs city, California","44,575","44,646","45,008","45,114","45,271","45,453",,,,,,,,,,,
